pub_date,city,address,title,owner,contractor,engineer
"
  2019-02-19
",City of Toronto,"Smart House Condominium. 219 Queen Street West, Toronto, Ontario ",Caulking and Firestopping,Queen Simcoe Inc.,Tempo Contracting Inc.,nan
"
  2019-02-19
",City of Toronto,"St. Maurice Catholic School - 45 Kingsview Boulevard, Toronto, ON, M9R 1T8 ",St. Maurice Catholic School Child Care Retrofit,Toronto Catholic District School Board,Morosons Construction Limited,ATA Architects Inc.
"
  2019-02-19
","City of Toronto, Regional Municipality of Toronto","4335 Bloor Street West, Toronto, Ontario ",TD Bank Retail Branch Interior Alterations,TD Bank Group c/o Brookfield Global Integrated Solutions,Galloro Constructors Inc.,Castillo Sergio
"
  2019-02-19
",Corporation of the Town of Caledon,"Kennedy Road and Abbotside Way, Caledon, Ontario ",Contract No. RFT 2018-68 - Storm Water Management Pond E4 Spillway Retrofit,The Corporation of the Town of Caledon,TDI International AG Inc.,"Antonio Pallotta, Supervisor, Development Inspections"
"
  2019-02-19
","Durham Region, Municipality of Clarington",40M-2513 ,"Huntington Phase III: Condo Block; Underground Servicing, Base Roadworks, Internal and External Surface Roadworks",Prestonvale Heights Limited,Fernview Construction Limited,GHD
"
  2019-02-19
",Essex County,"201 Riverside Drive West, Windsor ",West Stairwell Window Replacement,The St. Clair College of Applied Arts and Technology,Loaring Construction Inc.,"Jennifer Di Domenico Chall.Eng. Corporation, Consulting Engineers"
"
  2019-02-19
",Essex County,"438 Niagara Street, 140 Bridge Avenue & 860 Mercer Avenue, Windsor, ON ",Balcony Repairs,Windsor Essex Community Housing Corporation,Brada Construction Ltd.,"Jennifer Hogan, B.Arch.Sci., C.E.T., RRO, LEED AP, Pretium Anderson Burlington Inc."
"
  2019-02-19
",Etobicoke - City of Toronto,"150 Sherway Drive, Etobicoke, Ontario M9C 1A5 ",Trillium Health Partners - Queensway Health Centre - MDRD Sterile Storage Renovation,Trillium Health Partners,Dineen Construction (2017) Corporation,Brian Moeller - Stantec Architecture Ltd.
"
  2019-02-19
","Fenelon Falls, ON","66 Lindsay Street, Fenelon Falls, Ontario, K0M 1N0 ",Fenelon Falls Secondary School Roofing Replacement,Trillium Lakelands District School Board,Designed Roofing Inc.,Mitchell Jensen Architects Inc.
"
  2019-02-19
","Halton Region, City of Burlington","2010 Appleby Line, Burlington, Ontario, L7L 6M6 ",Metro 084 - Major Renovation including E - Commerce and Demised Retail Space,Metro Ontario Inc.,Fortis Construction Group,"Paul Marques, Architect Inc."
"
  2019-02-19
","London, Ontario","451 Talbot Street, London, Ontario ",GOC754597 Men's and Ladies Locker Room Renovations in level P1,Public Works Government Service Canada,Elgin Contracting and Restoration Ltd.,"LDM Architects Inc., Lida Mohammadi"
"
  2019-02-19
",Mississauga,"5290 Orbitor Drive, Mississauga, ON ",Parking Lot Expansion Stage 1,Nissan Canada Inc.,Sierra Excavating Inc.,"David Carter, OAA David Carter Architects Inc."
"
  2019-02-19
",Municipality of Chatham-Kent,"315 King Street West, Chatham, ON ",T18-165 Prospect Street Watermain and Road Improvements - Community of Chatham,Municipality of Chatham-Kent,Henry Heyink Construction Ltd.,"Mark McFadden, P.Eng."
"
  2019-02-19
",Municipality-Vaughan,3400 Steeles Ave West ,"Vaughan Renovation & Additions to Sheraton 4 Points Earthwork, concrete works, forming work & garage doors",2398869 Ontario Inc.,Zgemi Inc.,nan
"
  2019-02-19
","Ottawa, ON",1770 Woodward Ground Floor ,CPM Medical Fit-Up,1770 Woodward Drive Regional Inc. c/o The Regional Group of Companies Inc.,RoJo Construction Management Inc.,nan
"
  2019-02-19
",Peel,"1324 Lorne Park Rd, Mississauga, ON L5H 3B1 ",Acoustic Wall Panel Replacement,Peel District School Board,Balmain Construction Ltd.,nan
"
  2019-02-19
","Sault Ste. Marie, Ontario","735 North Street, Sault Ste. Marie, Ontario ","Kiwedin Public School Facade Redevelopment Algoma District School Board, 443 Northern Avenue, Sault Ste. Marie, Ontario",Algoma District School Board,George Stone & Sons Inc.,IDEA Inc. Integrated Design Engineering + Architecture
"
  2019-02-19
","Thunder Bay District, Town of Marathon, Ontario","14 Hemlo Drive, Marathon, ON P0T 2E0 ",Supply Fan Cooling & Humidifiers Upgrades Marathon High School,Superior Greenstone District School Board,TopLine Electric Ltd.,Critchley Hill Architecture Inc.
"
  2019-02-19
",Toronto,Lawrence Heights 1B ,Lagged Shoring,Yorkdale Residences II Inc.,GFL Infrastructure Group Inc.,nan
"
  2019-02-19
",Toronto,"222 Bay Street, Toronto, Ontario ","Interior Renovations - Floors 21-22, Project Number: 116306",BDO Canada,The Pentacon Group,"Steve McKee, IBI Group"
"
  2019-02-19
",Toronto,"55 Bloor St. W, 12th Floor, Toronto, ON ",Renovation to the west half of the 12th Floor to provide open office concept around the perimeter of the space and closed off meeting rooms and amenities in the center,Bank of Montreal,PCL Constructors Canada Inc.,Sandy Logan
"
  2019-02-19
",Toronto,"55 Bloor St. W, 5th Floor, Toronto, ON ",This project consists of the removal of existing 6 x 6 workstations and replaced with harvest tables New power and data as needed to match the new layout,Bank of Montreal,PCL Constructors Canada Inc.,Sandy Logan
"
  2019-02-19
",Town of Midland,"1112 St. Andrew's Drive, Midland, ON ",Air Handling Unit Repairs and Retrofit,Georgian Bay General Hospital,Bird Mechanical Limited,Nortek Consulting Group
"
  2019-02-19
","Vaughan, Ontario","3700 Steeles Avenue West, Suite 1001 ",Tenant Fit-Out,HUB Financial,MARANT Construction Limited,nan
"
  2019-02-19
",York Region,"39 New Delhi Dr. Markham, Ontario ",Insulated Concrete Form (ICF),DelRidge (East Markham II) Inc.,Leed Wall Systems,nan
"
  2019-02-19
",York Region,Various Locations in the Region of York ,Contract No. T-17-135 - Structural Pruning and Associated Tree Maintenance Activities,The Regional Municipality of York,"Davey Tree Expert Co. of Canada, Limited",nan
"
  2019-02-15
",City of Toronto,"4400 Jane Street, Toronto, Ontario M3N 2K4 ",Balcony Rehabilitation - Phase 1 and 2,Toronto Community Housing Corporation,Adco Building Restoration Ltd.,Read Jones Christoffersen Ltd.
"
  2019-02-15
",City of Toronto,"4700 Keele Street, York University, Toronto, Ontario, M3J 1P3 ",Renovations to Parking and YU Card Services,York University,RMG Contract Interiors Inc.,York University
"
  2019-02-15
",City of Toronto,668 Roselawn Avenue ,Exterior Sealant Replacement and Targeted Window and Wall Repairs,Dorothy Klein Seniors inc.,Tritan Inc.,Synergy Partners Consulting Limited
"
  2019-02-15
",City of Toronto,"80 St George Street, Toronto, Ontario ",Lash Miller 4th Floor Lab Renovation,The Governing Council of the University of Toronto,OLAR Limited,"Eric Boelling, Architect, University of Toronto, Design & Engineering"
"
  2019-02-15
",City of Toronto,"Centennial College Progress Campus, 941 Progress Ave, Toronto, ON M1G 3T8 ",Upgrades to washrooms and office space at Progress Campus C Block,Centennial College,Joe Pace & Sons Contracting Inc.,DIALOG Ontario Inc.
"
  2019-02-15
",City of Toronto,"Enigma On The Park, 138 St. Helens Ave., Toronto, ON ","Supply & Install Aluminum Window Wall, Windows, Sliding Doors, Swing Doors & Glass",Aragon (Port Royal) Properties Limited,Alumicom Inc.,nan
"
  2019-02-15
",City of Toronto,"Legislative Assembly of Ontario, Queen's Park, Toronto, Ontario ",Masonry & Windows Conservation Year 5 at the Legislative Assembly of Ontario,Legislative Assembly of Ontario,Roof Tile Management Inc.,+VG Architects (The Ventin Group Ltd.)
"
  2019-02-15
",City of Toronto,"St. Paul's Terrace Seniors Residence - 2800 Warden Avenue, Toronto, ON M1W 3Z6 ",Garage Waterproofing and Concrete Repairs,St. Paul's Terrace Seniors Residence,SMID Construction Ltd.,Accent Building Sciences Inc.
"
  2019-02-15
",City of Toronto,"Westacres - 2 Arbor Dell Road, Etobicoke, ON M9W 4C6 ",Replacement of Heating & DWP System,Toronto Community Housing Corporation,Bird Mechanical Ltd.,"Habib Pouryafar, P.Eng. C/O J+B Engineering Inc."
"
  2019-02-15
",City of Windsor,Little River Trail - Little River Road from Florence Ave. to Clover Ave. ,Little River Trail - Granular,The Corporation of the City of Windsor,Jeff Shepley Excavating Ltd.,nan
"
  2019-02-15
",Corporation of the City of North Bay,"Veterans Sports Complex, 10 Judge Ave, North Bay, ON ","Design and reconstruction of Veterans ball diamond, infield, outfield, fencing",Corporation of the City of North Bay,TDI International AG Inc.,nan
"
  2019-02-15
","Durham Region, Town of Whitby",Multiple Locations ,Contract No. T-7-2017 Streetlight Installation on Major Roads,The Corporation of the Town of Whitby,Dundas Power Line Ltd.,D.G. Biddle & Associates Limited
"
  2019-02-15
",Elgin County/City of St. Thomas,"467 Sunset Boulevard, St. Thomas ","Fuel Storage tank removal and Remediation Activities Removal of 6 underground storage tanks, remediation of impacted soil, and site restoration",Her Majesty the Queen in Right of Ontario,Ground Force Environmental Inc.,GHD Limited
"
  2019-02-15
","Hastings County, Municipality Faraday","28249 Highway 28, Faraday, ON K0L 1C0 ",Ground Mount Solar Project,Peterborough Solar Projects Corporation,UGE Canada LTD.,Peterborough Solar Projects Corporation
"
  2019-02-15
","Hastings County, Municipality Faraday","28432 Highway 28 South, Faraday, ON K0L 1C0 ",Ground Mount Solar Project,Peterborough Solar Projects Corporation,UGE Canada LTD.,Peterborough Solar Projects Corporation
"
  2019-02-15
","Hastings County, Wollaston Township","109 O'Briens Road, Wollaston, ON K0L 1P0 ",Ground Mount Solar Project,Peterborough Solar Projects Corporation,UGE Canada LTD.,Peterborough Solar Projects Corporation
"
  2019-02-15
","Kingston, Ontario","1789 Bath Road, Kingston, Ontario, K7M 4Y3 ",Boiler Replacement and Frontenac Secondary School,Limestone District School Board,Modern Niagara Building Services,David W Downey Engineering Ltd.
"
  2019-02-15
",Municipality of Leamington,"Kinsmen Baseball Complex, 21 Seacliff Drive East, Leamington, ON ",Construction of a new Skateboard Park,The Corporation of the Municipality of Leamington,New Line Skateparks Inc.,nan
"
  2019-02-15
",Municipality of Trent Hills,"50 Saskatoon Avenue, Campbellford, Ontario ","Campbellford Water Supply System Upgrades - Construction of a +/-1,800m3 in ground water storage reservoir, pump house, control building and all related mechanical and electrical equipment. Also, included retrofit in existing water treatment plant and interconnection of piping and services",Municipality of Trent Hills,Peak Engineering & Construction Ltd.,D.M. Wills Associates Limited
"
  2019-02-15
",Peel Region,"2869 Battleford Road, Mississauga, ON ",Parking Garage Restoration,Morguard NAR Canada Ltd. Partnership,"Darrell Ruby, Vice President, Restorex Contracting Ltd.","Caleb Teeple, P.Eng., LEED AP, BD+C Pretium Anderson Burlington Inc."
"
  2019-02-15
",Simcoe County,"Stayner Ridge Estates, Township of Clearview, Ontario ","Stayner Ridge Estates, Electrical Servicing and Street Lighting, Township of Clearview, Ontario, 17086P",Zancor Homes (Stayner) Ltd.,Kile Contr. Inc.,Runge & Associates Inc.
"
  2019-02-15
","Simcoe County, Town of Collingwood","Part Lot 42, Concession 7, Nottawasaga ","Civil Servicing and Parking Lot Construction, Holiday Inn Express and Office Buildings",Dunn Capital Corporation,Arnott Construction Ltd.,C.F. Crozier & Associates
"
  2019-02-15
",Toronto,"31 King Street, Toronto, Ontario, M9N 1K9 ",26 Live/Work Units,Rockport (Weston Hub) Inc.,Rockport Construction Services Inc.,nan
"
  2019-02-15
",Toronto and East York,66 Wellington Street West Floors 46 + 47 ,Scope of Work - Interior Alterations,Cadillac Fairview Corporation,Greenferd Construction Inc.,nan
"
  2019-02-15
","Toronto, Ontario",282 Valermo Dr M8W 2L1 ,Complete build house,Zenoviy and Olha Yurechko,Zenoviy Yurechko,Zenoviy Yurechko
"
  2019-02-15
","Toronto, Ontario","43 Burton Rd, Toronto, ON M5P 1V1 ",43 Burton Road - Underground Sewers and Site Servicing,Robert Ezer,Amico Infrastructures Oxford Inc.,Counterpoint Engineering Inc.
"
  2019-02-15
","Toronto, Ontario","50 and 70 Cambridge Avenue, Toronto, ON ",2018 Localized Garage Roof Slab and Miscellaneous Repairs at 50 and 70 Cambridge Avenue,Westdale Construction Co. Limited,Podium Restoration,Gillespie Building Consultants Inc.
"
  2019-02-15
",Town of Arnprior,"Lot 1, Concession C&D; and part of Road Allowance between Concessions C&D; in the former Township of McNab (now the Town of Arnprior) ","Contract 117164-A Marshall's Bay Meadow, Clearing and Grubbing / Test Pits",Madawaska Regional Inc. c/o Regional Group of Companies,Thomas Cavanagh Construction Ltd.,"Novatech Engineering Consultants Ltd. Attn. Sam Bahia, P. Eng."
"
  2019-02-15
",Town of Newmarket,"50 Eagle St. W. Newmarket, ON L3Y 6B1 ","General parking lot improvements including removal of concrete curb islands, asphalt fill ins, replacement of damaged concrete curb and minor storm sewer repairs",Infrastructure Ontario,CONFRA Global Solutions Incorporated,"Planmac Engineering Inc - Clifford Campbell, M. Eng."
"
  2019-02-15
",Waterloo Region,"150 Frederick St., Kitchener, ON, N2G 4J3 ","Franklin Boulevard reconstruction from 170m South of Champlain Boulevard to Myers Road and Franklin Boulevard extension from Myers Road to City Boundary, Cambridge, Ontario & South Boundary Road Bridge at Cheese Factory Road and Cheese Factory Road reconstruction, Township of North Dumfries, Ontario","Regional Municipality of Waterloo, Frank Kosa, Senior PM","E & E Seegmiller Limited, Helder Tavares, GM","Parsons Inc., Nelson Guiot, PM"
"
  2019-02-15
",Whitefish River First Nation,17-A Rainbow Ridge Road ,Whitefish River First Nation - Elevated Storage Reservoir,Whitefish River First Nation,Cecchetto & Sons Ltd.,"Craig Baker, P. Eng., First Nations Engineering Services Ltd."
"
  2019-02-15
",York Region,"242 St. John's Sideroad, Aurora ",Contract No. 18-C03 - Aurora Sewage Pumping Station Maintenance Platform Replacement,The Regional Municipality of York,Kingdom Construction Limited,nan
"
  2019-02-15
",York Region,"Major Mackenzie Drive at the West Don River culvert, approximately 170m east of McNaughton/Avro Road in the City of Vaughan ",Contract No. 18-118 - Supply and install a temporary shoring system inside an existing 4.7m CSP Arch culvert,The Regional Municipality of York,Anscon Contracting Inc.,nan
"
  2019-02-15
",Certificate of completion of subcontract., ,"Certificate of Completion of Subcontract under Subsection 33 (1) of the Construction Act (Form 10)This is to certify the completion of a subcontract for the supply of services or materials between Watson Contracting and Recipe / Montana's Barrie 66 Barrieview Drive dated the 1st day of December 2018The subcontract provided the supply of the following services or materials: Renovation of RestaurantTo the following improvement: New Floor, Paint, Bar, Interior FinishesOf the premises at: 66 Barrie View Dr. Barrie, ON L4N 8V4Date of Certification: February 7, 2019",Rob Chatarpaul,Daryl Watson,Rob Chatarpaul
"
  2019-02-15
",Barrie,"625 Welham Road, Barrie, ON L4N 0B7 ",Building Addition,Triangle Holdings Inc.,CowdenWoods Design Builders Ltd.,Chris Gariepy Construction Advisors
"
  2019-02-15
",Central Region,"This is to certify that the contract for the following improvement: Contract # 2015-2028 Grading, Drainage, Granular Base, Hot Mix Paving, Electrical, and Structures ",,Her Majesty the Queen in Right of Ontario as represented by the Minister of Transportation,Bot Construction (Ontario) Ltd.,nan
"
  2019-02-15
",City of Belleville,"30 Franklin Street, Belleville, Ontario ",Designated Substance/Hazardous Material Abatement and Building Demolition,Metso Minerals Canada Inc.,Budget Environmental Disposal Inc.,GHD
"
  2019-02-15
",City of Markham,"101 Town Centre Blvd, Markham, ON ",Erosion Restoration at Rouge River,Alberto Lim City of Markham,Ratcliff Excavating & Grading,Adham Bakr - Aquafor Beech Ltd.
"
  2019-02-15
",City of Mississauga,"5500 Rose Cherry Place, Mississauga, ON., L4Z 4B6 ",Alteration to Existing Building - Architectural Modifications to BSO Office Area,City of Mississauga,Forest Contractors Limited,Lennox Architects Limited
"
  2019-02-15
",City of Mississauga,"5935 Airport Road, Mississauga, ON. L4W 1W5 ",Interior Alterations,Matt McBride,DPI Construction,SGH Design Partners
"
  2019-02-15
",City of Niagara Falls,"4310 Queen Street, P.O. Box 1023, Niagara Falls, Ontario L2E 6X5 ",Kalar Road Reconstruction Contract# 2018-438-17,Corporation of the City of Niagara Falls,1984370 Ontario Inc. o/a Alfidome Construction Niagara,City of Niagara Falls
"
  2019-02-15
",City of Oakville,"586 Argus Road, Oakville, ON L6J 3J3 ",4th & 5th Floor Interior Alterations,Rockstar,Dunpar Commercial Interiors,SGH Design Partners
"
  2019-02-15
",City of Ottawa,"713 Montreal Road, Ottawa, Ontario ",Endoscopy SPD Renovation,Hopital Montfort,Xpertek Construction 2004 inc.,Parkin Architects Limited
"
  2019-02-15
",City of Ottawa,"Carleton University 1125 Colonel By Drive, Ottawa, ON Canada, K1S 5B6 ","Rooms 2431 & 3441 Renovation, Mackenzie Building",Carleton University,Laplante Builders Ltd.,Bryden Martel Architects Incorporated
"
  2019-02-15
",City of Thorold,Highway 406 Crossing of Watermain and Sanitary Sewer between Towpath Road and Kottmeier Road ,Highway 406 Crossing of Watermain and Sanitary Sewer,2524964 Ontario Inc.,V Gibbons Contracting Limited,Upper Canada Planning & Engineering Ltd.
"
  2019-02-15
",City of Thorold,Kottmeier Road from Merritt Road south to Highway 406 ,Sanitary Sewer and Watermain including Road Restoration,2524964 Ontario Inc.,V Gibbons Contracting Ltd.,Upper Canada Consultants
"
  2019-02-15
",City of Thorold,Port Robinson East - Kottmeier & East Side of Highway 406 ,Sanitary Sewer and Watermain between Kottmeier Road and East Side of Highway 406,2524964 Ontario Inc.,V Gibbons Contracting Ltd.,Upper Canada Consultants
"
  2019-02-15
",City of Thorold,South of Port Robinson East of Kottmeier North of Highway 406 and Merritt Road ,"Lot 1-5, 138-221, 233-236 - 59m - 454",2524964 Ontario Inc.,V Gibbons Contracting Ltd.,Upper Canada Consultants
"
  2019-02-15
",City of Thorold,South of Port Robinson Road East of Kottmeier Road North of Highway 406 and Merritt Road ,"Lot 222-232, 237-253, 275-399 Block 400-408 and Lot 42-57 - 59m - 454",2524964 Ontario Inc.,V Gibbons Contracting Ltd.,Upper Canada Consultants
"
  2019-02-15
",City of Toronto,"176 Yonge St Toronto, Ontario M5C 2L7 ",2018 Renovation - Queen Street,Hudson's Bay Company,Nelnor Construction,Manal Senjab
"
  2019-02-15
",City of Toronto,"176 Yonge St Toronto, Ontario M5C 2L7 ",Demising Wall Construction - Queen Street,Hudson's Bay Company,Nelnor Construction,Manal Senjab
